#,页面,方法,状态,类型,域名,网址,启动毫秒,持续时间_毫秒,ttfb_毫秒,大小_字节,缓存命中
1,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/announcements/latest,25896,7467,1733,297,0
2,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/wiki,25898,4570,1045,1974,0
3,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/auth/me,25901,7460,1732,394,0
4,https://test.huangshifu.wiki/wiki,POST,200,xhr,gator.volces.com,https://gator.volces.com/list,26038,4522,89,1076,0
5,https://test.huangshifu.wiki/wiki,OPTIONS,200,other,gator.volces.com,https://gator.volces.com/list,26559,3016,846,933,0
6,https://test.huangshifu.wiki/wiki,GET,200,xhr,kimi.moonshot.cn,https://kimi.moonshot.cn/api/user,26702,6795,2205,753,0
7,https://test.huangshifu.wiki/wiki,OPTIONS,204,other,kimi.moonshot.cn,https://kimi.moonshot.cn/api/user,26814,3734,1038,0,0
8,https://test.huangshifu.wiki/wiki,GET,200,document,test.huangshifu.wiki,https://test.huangshifu.wiki/favicon.ico,28433,4932,685,2566,0
9,https://test.huangshifu.wiki/wiki,GET,200,image,test.huangshifu.wiki,https://test.huangshifu.wiki/icons/icon.svg,28434,5022,688,252,0
10,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/notifications?limit=10,33427,1363,695,65,0
11,https://test.huangshifu.wiki/wiki,GET,200,document,test.huangshifu.wiki,https://test.huangshifu.wiki/api/users/me,33429,1345,695,2566,0
12,https://test.huangshifu.wiki/wiki,GET,200,script,test.huangshifu.wiki,https://test.huangshifu.wiki/assets/Admin-BrR4K71J.js,44028,754,184,75599,0
13,https://test.huangshifu.wiki/wiki,GET,200,document,test.huangshifu.wiki,https://test.huangshifu.wiki/favicon.ico,44130,931,268,2566,0
14,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/admin/review-queue?type=wiki&status=pending,44884,414,220,44,0
15,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/admin/review-queue?type=posts&status=pending,44887,712,219,45,0
16,https://test.huangshifu.wiki/wiki,POST,200,xhr,kimi.moonshot.cn,https://kimi.moonshot.cn/api/ext/annotation/list,52449,173,87,517,0
17,https://test.huangshifu.wiki/wiki,OPTIONS,204,other,kimi.moonshot.cn,https://kimi.moonshot.cn/api/ext/annotation/list,52457,69,63,0,0
18,https://test.huangshifu.wiki/wiki,GET,200,image,analysis.chatglm.cn,https://analysis.chatglm.cn/bdms/p.gif?tm=extension&usid=66c5ed7fc9af02fbeaa9af68&t=1776310320279&url=https%3A%2F%2Ftest.huangshifu.wiki%2Fadmin&vs=1.1.5&ab=&md=content&ct=user_browser&fr=browser_extension&ffr=browser_extension&deid=b994dbd4ab5f4618bd3e42c1ddb7dd4f&reid=60afe59da0d34167bfe96845e082743e&pd=chatglm&version=1.1.5&ctvl=test.huangshifu.wiki&pds=https%3A%2F%2Ftest.huangshifu.wiki%2Fwiki&bt=cl,52527,851,496,428,0
19,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/announcements/latest,55913,288,73,297,0
20,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/announcements/latest,85898,801,51,297,0
21,https://test.huangshifu.wiki/wiki,GET,200,xhr,test.huangshifu.wiki,https://test.huangshifu.wiki/api/notifications?limit=10,93440,424,284,65,0